id,listing_id,source_name,price,surface,rooms,city,region,zone,transaction_type,property_type,scraped_at,change_type,price_delta,price_delta_pct,reliability_score
1794,tunisieannonce_7fe9ef5fde5a,tunisieannonce,1600.0,120.0,2.0,Cite Ennasr 2,TUNIS,north,Rent,Apartment,2026-03-26T16:15:14.416961,new,,,90
1901,tunisieannonce_d5f5f14b3389,tunisieannonce,1000.0,133.0,2.0,Bab Bhar,TUNIS,north,Rent,Apartment,2026-03-26T16:15:24.368055,new,,,85
1765,tunisieannonce_6db5b083253c,tunisieannonce,1700.0,,,Sidi Daoud,TUNIS,north,Sale,Land,2026-03-26T16:15:33.886459,new,,,55
1867,tunisieannonce_b7aeea25854e,tunisieannonce,430000.0,203.0,3.0,Bab Menara,TUNIS,north,Sale,Villa,2026-03-26T16:15:43.470844,new,,,95
1747,tunisieannonce_5dc9962ca673,tunisieannonce,1100.0,60.0,2.0,Bab Bhar,TUNIS,north,Rent,Apartment,2026-03-26T16:15:53.475872,new,,,85
1842,tunisieannonce_aa73f1175e48,tunisieannonce,1200.0,,2.0,Menzel Bouzelfa,TUNIS,north,Sale,Land,2026-03-26T16:16:15.535194,new,,,65
1663,tunisieannonce_1537155e73d2,tunisieannonce,1950.0,5000.0,,Bir Mcherga,TUNIS,north,Sale,Land,2026-03-26T16:16:36.116141,new,,,70
1750,tunisieannonce_64e56244c30c,tunisieannonce,134000.0,244.0,,Soliman,TUNIS,north,Sale,Land,2026-03-26T16:16:53.472206,new,,,90
1759,tunisieannonce_6854fffb3956,tunisieannonce,860000.0,500.0,,Bent Saidane,TUNIS,north,Sale,Land,2026-03-26T16:17:06.407096,new,,,90
1805,tunisieannonce_85495587462c,tunisieannonce,750000.0,,,El Fahs,TUNIS,north,Sale,Land,2026-03-26T16:17:19.589880,new,,,75
1645,tunisieannonce_076d584afc2e,tunisieannonce,157000.0,231.0,,Hammam Lif,TUNIS,north,Sale,Land,2026-03-26T16:18:31.941647,new,,,90
1795,tunisieannonce_7e694f8fbc52,tunisieannonce,268000.0,400.0,,Soliman,TUNIS,north,Sale,Land,2026-03-26T16:18:43.334630,new,,,85
1917,tunisieannonce_e29f963afe37,tunisieannonce,198365.0,409.0,,Soliman,TUNIS,north,Sale,Land,2026-03-26T16:18:58.239775,new,,,90
1823,tunisieannonce_9d674a9d3691,tunisieannonce,167000.0,257.0,,Soliman,TUNIS,north,Sale,Land,2026-03-26T16:19:10.830902,new,,,90
1729,tunisieannonce_51ffe3ee4a22,tunisieannonce,268000.0,400.0,,Borj Cedria,TUNIS,north,Sale,Land,2026-03-26T16:19:23.734623,new,,,85
