id,ipim_type,property_type,price,currency,city,municipality,region,surface,rooms,price_per_m2,latitude,longitude,reliability_score,reliability_level,is_outlier,scraped_at,last_updated
mubawab:mubawab_7981263,terrain,land,,TND,,Jebel Jelloud,TUNIS,148.0,,,36.7667,10.1833,35.0,LOW,False,2026-03-27 12:50:47.167703+00,2026-04-09 15:38:46.895255+00
mubawab:mubawab_7996452,maison,villa,,TND,,,,200.0,12.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 12:47:54.017595+00,2026-04-09 15:38:48.206303+00
mubawab:mubawab_8011728,maison,villa,,TND,,,,780.0,14.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-29 09:03:13.414414+00,2026-04-09 15:38:48.857057+00
mubawab:mubawab_8021942,maison,villa,,TND,,,,400.0,5.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 12:48:02.913291+00,2026-04-09 15:38:49.257329+00
mubawab:mubawab_8025531,appartement,apartment,,TND,,Jebel Jelloud,TUNIS,131.0,2.0,,36.7667,10.1833,45.0,LOW,False,2026-03-29 05:34:13.142731+00,2026-04-09 15:38:46.943091+00
mubawab:mubawab_8029899,maison,villa,,TND,,Jebel Jelloud,TUNIS,600.0,3.0,,36.7667,10.1833,45.0,LOW,False,2026-03-29 09:03:25.131301+00,2026-04-09 15:38:48.26973+00
mubawab:mubawab_8034639,appartement,apartment,,TND,,,,120.0,1.0,,33.8439408,9.400138,15.0,DROP,False,2026-04-06 08:58:40.26511+00,2026-04-09 15:38:48.801753+00
mubawab:mubawab_8034640,appartement,apartment,,TND,,,,120.0,1.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-29 05:51:06.786863+00,2026-04-09 15:38:46.991579+00
mubawab:mubawab_8035205,appartement,apartment,,TND,,Jebel Jelloud,TUNIS,81.0,1.0,,36.7667,10.1833,35.0,LOW,False,2026-04-06 09:01:20.243066+00,2026-04-09 15:38:49.149849+00
mubawab:mubawab_8035208,appartement,apartment,,TND,,Jebel Jelloud,TUNIS,90.0,1.0,,36.7667,10.1833,30.0,LOW,False,2026-04-06 09:01:00.556296+00,2026-04-09 15:38:49.807991+00
mubawab:mubawab_8035209,appartement,apartment,,TND,,,,81.0,1.0,,33.8439408,9.400138,25.0,LOW,False,2026-04-06 09:01:30.372329+00,2026-04-09 15:38:49.103702+00
mubawab:mubawab_8035210,appartement,apartment,,TND,,,,118.0,1.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-29 05:50:21.573654+00,2026-04-09 15:38:49.508761+00
mubawab:mubawab_8035987,appartement,apartment,,TND,,,,78.0,13.0,,33.8439408,9.400138,15.0,DROP,False,2026-04-06 08:58:33.124848+00,2026-04-09 15:38:50.631912+00
mubawab:mubawab_8042065,appartement,apartment,,TND,,,,152.0,6.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 05:40:39.030913+00,2026-04-09 15:38:47.415922+00
mubawab:mubawab_8043789,appartement,apartment,,TND,,Jebel Jelloud,TUNIS,120.0,2.0,,36.7667,10.1833,35.0,LOW,False,2026-04-06 08:56:19.337632+00,2026-04-09 15:38:48.046801+00
mubawab:mubawab_8047871,appartement,apartment,,TND,,,,288.0,7.0,,33.8439408,9.400138,15.0,DROP,False,2026-04-06 08:59:52.565036+00,2026-04-09 15:38:47.993749+00
mubawab:mubawab_8053642,appartement,apartment,,TND,,,,123.0,,,33.8439408,9.400138,5.0,DROP,False,2026-04-06 08:56:28.873057+00,2026-04-09 15:38:48.956701+00
mubawab:mubawab_8078124,maison,villa,,TND,,Jebel Jelloud,TUNIS,200.0,3.0,,36.7667,10.1833,45.0,LOW,False,2026-03-27 12:47:01.71125+00,2026-04-09 15:38:48.318126+00
mubawab:mubawab_8078453,appartement,apartment,,TND,,Jebel Jelloud,TUNIS,62.0,2.0,,36.7667,10.1833,35.0,LOW,False,2026-04-06 08:57:50.286081+00,2026-04-09 15:38:48.472442+00
mubawab:mubawab_8087122,maison,villa,,TND,,,,270.0,,,33.8439408,9.400138,15.0,DROP,False,2026-03-29 05:58:02.195201+00,2026-04-09 15:38:47.68867+00
mubawab:mubawab_8097608,terrain,land,,TND,,,,4000.0,,,33.8439408,9.400138,15.0,DROP,False,2026-03-27 12:51:32.193889+00,2026-04-09 15:38:49.759994+00
mubawab:mubawab_8100525,maison,villa,,TND,,,,300.0,3.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-29 09:02:59.1338+00,2026-04-09 15:38:48.72976+00
mubawab:mubawab_8102336,appartement,apartment,,TND,,,,140.0,3.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-29 05:47:06.23045+00,2026-04-09 15:38:47.039722+00
