ipim_type,zone,n_obs,zone_index,premium_pct,year,prix_m2,prix_m2_low,prix_m2_high,valeur_100m2,valeur_low,valeur_high
maison,El Menzah,8,1.4213,42.1,2032,3683.5,2923.4,4443.7,368353.0,292336.0,444369.0
maison,El Mourouj,8,1.2508,25.1,2026,2496.8,2243.7,2749.9,249681.0,224370.0,274991.0
maison,El Mourouj,8,1.2508,25.1,2027,2621.1,2307.8,2934.4,262111.0,230778.0,293444.0
maison,El Mourouj,8,1.2508,25.1,2028,2745.2,2367.7,3122.7,274516.0,236766.0,312265.0
maison,El Mourouj,8,1.2508,25.1,2029,2869.3,2424.0,3314.5,286926.0,242399.0,331453.0
maison,El Mourouj,8,1.2508,25.1,2030,2993.4,2476.8,3509.9,299335.0,247682.0,350988.0
maison,El Mourouj,8,1.2508,25.1,2031,3117.4,2526.3,3708.6,311744.0,252631.0,370858.0
maison,El Mourouj,8,1.2508,25.1,2032,3241.5,2572.6,3910.5,324154.0,257258.0,391049.0
maison,Hammamet,39,1.0,0.0,2026,1996.2,1793.9,2198.6,199621.0,179385.0,219857.0
maison,Hammamet,39,1.0,0.0,2027,2095.6,1845.1,2346.1,209559.0,184509.0,234610.0
maison,Hammamet,39,1.0,0.0,2028,2194.8,1893.0,2496.6,219477.0,189296.0,249658.0
maison,Hammamet,39,1.0,0.0,2029,2294.0,1938.0,2650.0,229399.0,193800.0,264998.0
maison,Hammamet,39,1.0,0.0,2030,2393.2,1980.2,2806.2,239320.0,198023.0,280617.0
maison,Hammamet,39,1.0,0.0,2031,2492.4,2019.8,2965.0,249241.0,201980.0,296503.0
maison,Hammamet,39,1.0,0.0,2032,2591.6,2056.8,3126.5,259163.0,205680.0,312646.0
maison,Borj Cedria,7,0.7583,-24.2,2026,1513.7,1360.2,1667.1,151368.0,136024.0,166713.0
maison,Borj Cedria,7,0.7583,-24.2,2027,1589.0,1399.1,1779.0,158904.0,139909.0,177900.0
maison,Borj Cedria,7,0.7583,-24.2,2028,1664.2,1435.4,1893.1,166425.0,143539.0,189310.0
maison,Borj Cedria,7,0.7583,-24.2,2029,1739.5,1469.5,2009.4,173948.0,146954.0,200942.0
maison,Borj Cedria,7,0.7583,-24.2,2030,1814.7,1501.6,2127.9,181471.0,150157.0,212786.0
maison,Borj Cedria,7,0.7583,-24.2,2031,1889.9,1531.6,2248.3,188994.0,153157.0,224832.0
maison,Borj Cedria,7,0.7583,-24.2,2032,1965.2,1559.6,2370.7,196517.0,155962.0,237072.0
maison,Hammam Sousse,5,0.69,-31.0,2026,1377.4,1237.8,1517.1,137743.0,123780.0,151706.0
maison,Hammam Sousse,5,0.69,-31.0,2027,1446.0,1273.1,1618.9,144601.0,127315.0,161886.0
maison,Hammam Sousse,5,0.69,-31.0,2028,1514.4,1306.2,1722.7,151444.0,130618.0,172270.0
maison,Hammam Sousse,5,0.69,-31.0,2029,1582.9,1337.3,1828.5,158290.0,133726.0,182855.0
maison,Hammam Sousse,5,0.69,-31.0,2030,1651.4,1366.4,1936.3,165136.0,136640.0,193632.0
maison,Hammam Sousse,5,0.69,-31.0,2031,1719.8,1393.7,2045.9,171982.0,139371.0,204593.0
maison,Hammam Sousse,5,0.69,-31.0,2032,1788.3,1419.2,2157.3,178828.0,141923.0,215732.0
maison,Raoued,5,0.5586,-44.1,2026,1115.0,1002.0,1228.0,111499.0,100196.0,122802.0
maison,Raoued,5,0.5586,-44.1,2027,1170.5,1030.6,1310.4,117050.0,103058.0,131043.0
maison,Raoued,5,0.5586,-44.1,2028,1225.9,1057.3,1394.5,122590.0,105732.0,139448.0
maison,Raoued,5,0.5586,-44.1,2029,1281.3,1082.5,1480.2,128132.0,108248.0,148016.0
maison,Raoued,5,0.5586,-44.1,2030,1336.7,1106.1,1567.4,133673.0,110607.0,156740.0
maison,Raoued,5,0.5586,-44.1,2031,1392.2,1128.2,1656.1,139215.0,112817.0,165613.0
maison,Raoued,5,0.5586,-44.1,2032,1447.6,1148.8,1746.3,144757.0,114883.0,174630.0
terrain,El Menzah,14,5.3569,435.7,2026,4701.5,4343.7,5059.3,470150.0,434374.0,505926.0
terrain,El Menzah,14,5.3569,435.7,2027,4936.1,4477.5,5394.7,493612.0,447751.0,539472.0
terrain,El Menzah,14,5.3569,435.7,2028,5170.2,4603.4,5737.0,517019.0,460342.0,573695.0
terrain,El Menzah,14,5.3569,435.7,2029,5404.3,4722.5,6086.2,540435.0,472249.0,608621.0
terrain,El Menzah,14,5.3569,435.7,2030,5638.5,4834.9,6442.1,563849.0,483493.0,644206.0
terrain,El Menzah,14,5.3569,435.7,2031,5872.6,4941.1,6804.2,587264.0,494105.0,680424.0
terrain,El Menzah,14,5.3569,435.7,2032,6106.8,5041.1,7172.5,610679.0,504113.0,717245.0
terrain,Ennasr 2,7,2.5095,150.9,2026,2202.5,2034.9,2370.0,220245.0,203486.0,237005.0
terrain,Ennasr 2,7,2.5095,150.9,2027,2312.4,2097.5,2527.2,231236.0,209752.0,252720.0
terrain,Ennasr 2,7,2.5095,150.9,2028,2422.0,2156.5,2687.5,242201.0,215651.0,268752.0
terrain,Ennasr 2,7,2.5095,150.9,2029,2531.7,2212.3,2851.1,253171.0,221229.0,285113.0
terrain,Ennasr 2,7,2.5095,150.9,2030,2641.4,2265.0,3017.8,264140.0,226496.0,301783.0
terrain,Ennasr 2,7,2.5095,150.9,2031,2751.1,2314.7,3187.5,275108.0,231467.0,318750.0
terrain,Ennasr 2,7,2.5095,150.9,2032,2860.8,2361.6,3360.0,286077.0,236156.0,335999.0
terrain,Chotrana 3,5,2.3124,131.2,2026,2029.5,1875.0,2183.9,202945.0,187502.0,218388.0
terrain,Chotrana 3,5,2.3124,131.2,2027,2130.7,1932.8,2328.7,213072.0,193276.0,232869.0
terrain,Chotrana 3,5,2.3124,131.2,2028,2231.8,1987.1,2476.4,223176.0,198711.0,247641.0
terrain,Chotrana 3,5,2.3124,131.2,2029,2332.8,2038.5,2627.2,233284.0,203851.0,262717.0
terrain,Chotrana 3,5,2.3124,131.2,2030,2433.9,2087.0,2780.8,243391.0,208705.0,278078.0
terrain,Chotrana 3,5,2.3124,131.2,2031,2535.0,2132.9,2937.1,253499.0,213285.0,293712.0
terrain,Chotrana 3,5,2.3124,131.2,2032,2636.1,2176.1,3096.1,263606.0,217606.0,309606.0
terrain,La Soukra,20,2.2381,123.8,2026,1964.3,1814.8,2113.7,196427.0,181480.0,211374.0
terrain,La Soukra,20,2.2381,123.8,2027,2062.3,1870.7,2253.9,206229.0,187069.0,225390.0
terrain,La Soukra,20,2.2381,123.8,2028,2160.1,1923.3,2396.9,216009.0,192329.0,239688.0
terrain,La Soukra,20,2.2381,123.8,2029,2257.9,1973.0,2542.8,225792.0,197304.0,254280.0
terrain,La Soukra,20,2.2381,123.8,2030,2355.7,2020.0,2691.5,235574.0,202002.0,269147.0
terrain,La Soukra,20,2.2381,123.8,2031,2453.6,2064.4,2842.8,245357.0,206435.0,284279.0
terrain,La Soukra,20,2.2381,123.8,2032,2551.4,2106.2,2996.6,255140.0,210617.0,299663.0
terrain,Cite El Ghazala 1,5,1.8501,85.0,2026,1623.8,1500.2,1747.3,162376.0,150020.0,174732.0
terrain,Cite El Ghazala 1,5,1.8501,85.0,2027,1704.8,1546.4,1863.2,170479.0,154640.0,186318.0
terrain,Cite El Ghazala 1,5,1.8501,85.0,2028,1785.6,1589.9,1981.4,178563.0,158989.0,198138.0
terrain,Cite El Ghazala 1,5,1.8501,85.0,2029,1866.5,1631.0,2102.0,186651.0,163101.0,210200.0
terrain,Cite El Ghazala 1,5,1.8501,85.0,2030,1947.4,1669.8,2224.9,194737.0,166984.0,222490.0
terrain,Cite El Ghazala 1,5,1.8501,85.0,2031,2028.2,1706.5,2350.0,202824.0,170650.0,234999.0
terrain,Cite El Ghazala 1,5,1.8501,85.0,2032,2109.1,1741.1,2477.2,210911.0,174106.0,247716.0
terrain,Nabeul,5,1.5009,50.1,2026,1317.2,1217.0,1417.5,131723.0,121700.0,141746.0
terrain,Nabeul,5,1.5009,50.1,2027,1383.0,1254.5,1511.5,138296.0,125448.0,151145.0
terrain,Nabeul,5,1.5009,50.1,2028,1448.5,1289.8,1607.3,144854.0,128975.0,160733.0
terrain,Nabeul,5,1.5009,50.1,2029,1514.1,1323.1,1705.2,151415.0,132311.0,170519.0
terrain,Nabeul,5,1.5009,50.1,2030,1579.8,1354.6,1804.9,157975.0,135461.0,180489.0
terrain,Nabeul,5,1.5009,50.1,2031,1645.4,1384.3,1906.4,164535.0,138435.0,190636.0
terrain,Nabeul,5,1.5009,50.1,2032,1711.0,1412.4,2009.5,171095.0,141239.0,200952.0
terrain,Hammam Sousse,20,1.4367,43.7,2026,1260.9,1165.0,1356.9,126094.0,116499.0,135689.0
terrain,Hammam Sousse,20,1.4367,43.7,2027,1323.9,1200.9,1446.9,132386.0,120086.0,144686.0
terrain,Hammam Sousse,20,1.4367,43.7,2028,1386.6,1234.6,1538.6,138664.0,123463.0,153864.0
terrain,Hammam Sousse,20,1.4367,43.7,2029,1449.4,1266.6,1632.3,144944.0,126657.0,163231.0
terrain,Hammam Sousse,20,1.4367,43.7,2030,1512.2,1296.7,1727.8,151224.0,129672.0,172775.0
terrain,Hammam Sousse,20,1.4367,43.7,2031,1575.0,1325.2,1824.9,157503.0,132518.0,182489.0
terrain,Hammam Sousse,20,1.4367,43.7,2032,1637.8,1352.0,1923.6,163783.0,135202.0,192364.0
terrain,Kalaa El Kebira,10,1.4259,42.6,2026,1251.4,1156.2,1346.6,125142.0,115619.0,134664.0
